COMPANY_ID,NAME,CITY,STATE
298,ROSEWOOD INVESTMENT CORPORATION,NEW YORK,NY
299,SEMPER CAPITAL MANAGEMENT LP,NEW YORK,NY
300,VOYA INVESTMENT MANAGEMENT LLC,ATLANTA,GA
301,HQ CAPITAL PRIVATE EQUITY LLC,NEW YORK,NY
302,WATERFALL ASSET MANAGEMENT LLC,NEW YORK,NY
303,SENSHINE CAPITAL LLC,GREAT NECK,NY
304,ARROWSTREET CAPITAL LIMITED PARTNERSHIP,BOSTON,MA
305,GAW CAPITAL ADVISORS (USA) LLC,LOS ANGELES,CA
306,INCA INVESTMENTS LLC,MIAMI,FL
307,PYTHAGORAS INVESTMENT MANAGEMENT LLC,NEW YORK,NY
308,CAREY ASSET MANAGEMENT CORP,NEW YORK,NY
309,FREEDOM FINANCIAL ASSET MANAGEMENT LLC,SAN MATEO,CA
310,DRAPAC INVESTMENTS LLC,ATLANTA,GA
311,ELEMENT CAPITAL MANAGEMENT LLC,NEW YORK,NY
312,GDA LUMA CAPITAL MANAGEMENT LP,MIAMI,FL
313,SEAZEN CAPITAL PARTNERS LIMITED,LOS ANGELES,CA
314,HG VORA CAPITAL MANAGEMENT LLC,NEW YORK,NY
315,AERO CAPITAL SOLUTIONS INC,AUSTIN,TX
316,EMINENCE CAPITAL LP,NEW YORK,CA
317,PARTNERS CAPITAL INVESTMENT GROUP LLP,BOSTON,MA
318,BUILD ASSET MANAGEMENT LLC,SEATTLE,WA
319,BTG PACTUAL ASSET MANAGEMENT US LLC,NEW YORK,NY
320,HIGHBRIDGE CAPITAL MANAGEMENT LLC,NEW YORK,NY
321,CAPITAL RESEARCH AND MANAGEMENT COMPANY,LOS ANGELES,CA
322,VWH CAPITAL MANAGEMENT LP,NEW YORK,NY
323,SQUARE CAPITAL LLC,SAN FRANCISCO,CA
324,HENGHOU INVESTMENT HOLDING INC,PASADENA,CA
325,HUTCHINSON CAPITAL MANAGEMENT,LARKSPUR,CA
326,VONTOBEL ASSET MANAGEMENT INC,NEW YORK,NY
327,EXOME ASSET MANAGEMENT LLC,NEW YORK,NY
328,GIC SPECIAL INVESTMENTS PTE LTD,NEW YORK,NY
329,MIRAE ASSET GLOBAL INVESTMENTS (USA) LLC,NEW YORK,NY
330,GLADE BROOK CAPITAL PARTNERS LLC,GREENWICH,CT
331,FEDERAL WAY ASSET MANAGEMENT LP,FEDERAL WAY,WA
332,MONTAKA GLOBAL INVESTMENTS CORPORATION,FAIRFIELD,NJ
333,ECHO STREET CAPITAL MANAGEMENT LLC,NEW YORK,NY
334,BREVAN HOWARD US INVESTMENT MANAGEMENT LP,AUSTIN,TX
335,STADIUM CAPITAL MANAGEMENT GP LP,NEW CANAAN,CT
336,WESTERN ASSET MANAGEMENT,PASADENA,CA
337,VOLORIDGE INVESTMENT MANAGEMENT LLC,JUPITER,FL
338,VARADERO CAPITAL LP,NEW YORK,NY
339,HOYA CAPITAL PARTNERS LLC,MIAMI,FL
340,SK TELECOM TMT INVESTMENT CORP,NEW YORK,NY
341,BROADHAVEN CAPITAL PARTNERS LLC,NEW YORK,NY
342,CRABEL CAPITAL MANAGEMENT LLC,CHARLOTTESVILLE,VA
343,MATTHEWS INTERNATIONAL CAPITAL MANAGEMENT LLC,SAN FRANCISCO,CA
344,CAPITAL GROUP COMPANIES GLOBAL,LOS ANGELES,CA
345,DELTEC ASSET MANAGEMENT LLC,NEW YORK,NY
346,ALLIANZ ASSET MANAGEMENT OF AMERICA LP,SAN FRANCISCO,CA
347,LARCH CAPITAL PARTNERS LLC,MIAMI,FL
348,EASTONE CAPITAL LLC,NEW YORK,NY
349,GUGGENHEIM PARTNERS INVESTMENT MANAGEMENT LLC,SANTA MONICA,CA
350,CAPITALG MANAGEMENT COMPANY LLC,SAN FRANCISCO,CA
351,AVESTAR CAPITAL LLC,SUNNYVALE,CA
352,PERSHING SQUARE CAPITAL MANAGEMENT LP,NEW YORK,NY
353,JLJ CAPITAL LLC,NEW YORK,NY
354,TACONIC CAPITAL ADVISORS LP,NEW YORK,NY
355,GREENLIGHT CAPITAL INC,NEW YORK,NY
356,MERCER INVESTMENTS LLC,NEW YORK,NY
357,MJX ASSET MANAGEMENT LLC,NEW YORK,NY
358,PUTNAM INVESTMENT MANAGEMENT LLC,BOSTON,MA
359,GLOBAL PHYSICAL ASSET MANAGEMENT INC,MESA,AZ
360,SECOR ASSET MANAGEMENT LP,NEW YORK,NY
361,GPI CAPITAL LP,NEW YORK,NY
362,ROTH CAPITAL PARTNERS LLC,NEW YORK,NY
363,NUAGE INVESTMENT REALTY LLC,NEW YORK,NY
364,SLR CAPITAL PARTNERS LLC,NEW YORK,NY
365,AV CAPITAL MANAGEMENT LLC,MOUNTAIN VIEW,CA
