COMPANY_ROLE_SKILLS_ID,COMPANY_ROLES_ID,SKILL_ID
0,2,24
1,12,31
2,39,30
3,49,30
4,53,30
5,56,39
6,57,39
7,59,0
8,59,30
9,61,30
10,66,0
11,67,2
12,67,30
13,68,39
14,69,12
15,75,30
16,76,0
17,76,30
18,77,39
19,78,0
20,78,30
21,80,0
22,81,2
23,82,0
24,85,0
25,85,30
26,87,30
27,92,30
28,111,13
29,131,29
30,139,31
31,148,30
32,179,31
33,214,46
34,217,3
35,217,31
36,219,12
37,222,31
38,228,30
39,251,2
40,282,15
41,293,31
42,296,3
43,296,31
44,308,31
45,326,6
46,373,24
47,385,15
48,400,24
49,410,22
50,427,24
51,428,31
52,459,18
53,518,24
54,524,46
55,528,3
56,528,31
57,545,24
58,550,12
59,561,15
60,565,12
61,578,31
62,622,24
63,632,2
64,641,29
65,643,24
66,663,24
67,686,29
68,702,30
69,708,29
70,727,30
71,743,29
72,748,29
73,749,24
74,760,15
75,761,24
76,766,15
77,768,10
78,773,24
79,774,24
80,775,24
81,778,24
82,794,24
83,795,24
84,805,24
85,824,24
86,831,10
87,834,13
88,844,24
89,853,24
90,858,24
91,876,24
92,888,15
93,894,10
94,911,15
95,912,10
96,929,24
97,931,24
98,935,10
99,940,15
100,949,24
101,964,24
102,975,24
103,992,15
104,1047,24
105,1048,24
106,1051,24
107,1058,10
108,1060,24
109,1070,30
110,1087,24
111,1095,30
112,1138,10
113,1140,24
114,1170,24
115,1186,24
116,1187,30
117,1197,10
118,1208,24
119,1220,10
120,1221,30
121,1226,24
122,1227,24
123,1240,24
124,1241,15
125,1248,31
126,1259,24
127,1278,10
128,1287,24
129,1289,24
130,1291,10
131,1297,24
132,1336,29
133,1354,10
134,1363,30
135,1371,10
136,1384,29
137,1443,24
138,1466,24
139,1479,15
140,1486,24
141,1487,24
142,1512,24
143,1529,30
144,1576,24
145,1582,15
146,1599,10
147,1607,24
148,1625,24
149,1656,24
150,1658,24
151,1660,15
152,1663,30
153,1683,24
154,1698,24
155,1700,24
156,1730,24
157,1773,24
158,1785,31
159,1809,24
160,1875,15
161,1880,30
162,1916,3
163,1928,15
164,1933,15
165,1961,24
166,1973,24
167,2013,24
168,2026,24
169,2029,24
170,2077,10
171,2106,15
172,2110,24
173,2124,15
174,2144,15
175,2195,30
176,2249,24
177,2284,24
178,2294,24
179,2307,24
180,2343,24
181,2371,24
182,2395,15
183,2422,24
184,2423,30
185,2425,24
186,2447,13
187,2454,30
188,2472,24
189,2476,30
190,2477,30
191,2478,30
192,2479,30
193,2484,30
194,2491,30
195,2495,44
196,2496,30
197,2497,30
198,2510,30
199,2521,30
200,2522,30
201,2530,24
202,2530,30
203,2549,30
204,2562,44
205,2564,30
206,2565,30
207,2567,30
208,2573,30
209,2574,30
210,2585,13
211,2586,30
212,2587,30
213,2588,24
214,2591,24
215,2598,30
216,2599,30
217,2608,24
218,2608,30
219,2616,24
220,2618,30
221,2619,30
222,2620,30
223,2621,30
224,2622,30
225,2630,30
226,2634,30
227,2640,11
228,2640,30
229,2643,24
230,2647,30
231,2648,30
232,2651,30
233,2653,24
234,2655,30
235,2658,30
236,2665,30
237,2666,30
238,2669,44
239,2670,30
240,2677,30
241,2680,30
242,2682,30
243,2684,30
244,2686,11
245,2686,30
246,2689,30
247,2694,30
248,2705,30
249,2719,31
250,2724,18
251,2725,6
252,2732,0
253,2741,24
254,2756,31
255,2757,31
256,2770,30
257,2788,24
258,2792,31
259,2799,6
260,2800,6
261,2806,24
262,2809,6
263,2833,6
264,2841,3
265,2841,31
266,2847,24
267,2848,24
268,2849,47
269,2852,24
270,2862,30
271,2867,24
272,2873,12
273,2882,31
274,2885,24
275,2887,24
276,2893,30
277,2906,30
278,2913,6
279,2928,31
280,2933,24
281,2946,30
282,2956,6
283,2956,30
284,2969,24
285,2983,24
286,2995,24
287,3006,24
288,3026,1
289,3045,6
290,3048,12
291,3050,24
292,3054,6
293,3057,15
294,3058,24
295,3064,31
296,3070,6
297,3071,6
298,3074,31
299,3076,6
300,3079,13
301,3105,31
302,3120,24
303,3121,30
304,3137,30
305,3139,24
306,3141,1
307,3141,6
308,3159,15
309,3164,31
310,3166,30
311,3182,15
312,3189,6
313,3191,29
314,3198,31
315,3202,24
316,3204,1
317,3204,6
318,3212,18
319,3220,6
320,3220,31
321,3223,6
322,3231,6
323,3249,6
324,3263,30
325,3269,6
326,3280,24
327,3281,31
328,3295,30
329,3298,30
330,3311,24
331,3312,24
332,3313,31
333,3321,3
334,3321,31
335,3329,30
336,3335,24
337,3355,30
338,3366,24
339,3370,6
340,3381,6
341,3392,30
342,3413,3
343,3424,6
344,3436,30
345,3449,6
346,3450,47
347,3476,18
348,3489,30
349,3490,12
350,3494,47
351,3495,47
352,3507,24
353,3508,6
354,3511,47
355,3512,30
356,3516,24
357,3516,31
358,3526,24
359,3529,12
360,3545,6
361,3554,29
362,3555,24
363,3562,24
364,3571,6
365,3573,6
366,3582,6
367,3595,6
368,3607,6
369,3613,2
370,3613,6
371,3616,12
372,3620,24
373,3621,3
374,3630,12
375,3634,6
376,3638,31
377,3642,2
378,3642,6
379,3652,6
380,3657,6
381,3666,47
382,3669,6
383,3676,30
384,3685,24
385,3717,24
386,3728,12
387,3732,12
388,3738,12
389,3744,12
390,3745,30
391,3746,31
392,3748,47
393,3753,6
394,3760,6
395,3765,6
396,3779,6
397,3792,15
398,3792,31
399,3806,31
400,3810,6
401,3810,30
402,3847,31
403,3856,15
404,3861,31
405,3884,6
406,3890,31
407,3891,6
408,3905,6
409,3913,15
410,3927,15
411,3931,31
412,3950,15
413,3955,6
414,3964,15
415,3990,15
