,0,1,2
0,MAREX,Warehouse/Yard Forklift Operator,['ui']
1,MAREX,Infrastructure Engineer,"['ux', 'ui', 'operating systems']"
2,MAREX,Application Support Analyst,"['sql', 'trading', 'database', 'api', 'ux', 'ui']"
3,MAREX,Business Analyst,"['sql', 'finance', 'database', 'api', 'ui']"
4,MAREX,IT Analyst,"['finance', 'trading', 'ui']"
5,MAREX,HR Business Partner,['ui']
6,MAREX,newBusiness Operations Coordinator,"['network', 'ui']"
7,MAREX,Cybersecurity Analyst,"['network', 'trading', 'ui']"
8,MAREX,HR Manager,"['communications', 'ui']"
9,MAREX,Equity Market Risk Analyst – Prime brokerage/broker dealer,"['python', 'python', 'sql', 'programming', 'finance', 'trading', 'api', 'ui']"
10,MAREX,Compliance Officer Surveillance,"['communications', 'trading', 'ui']"
11,MAREX,OTC Energy Sales,"['finance', 'trading', 'economics', 'ui']"
12,MAREX,Senior Credit Analyst,"['quantitative analysis', 'ui']"
13,MAREX,Treasury Manager,"['finance', 'api', 'ui']"
14,MAREX,Assistant Audit Manager,['ui']
15,WEYBRIDGE,Legal Counsel,"['machine learning', 'trading', 'economics', 'api', 'ui']"
16,WEYBRIDGE,Head of R&D Next,"['network', 'engineering', 'masters', 'ui']"
17,WEYBRIDGE,"Research, Development and Product Lifecycle Quality Head","['engineering', 'masters', 'ui']"
18,WEYBRIDGE,Valuation Analyst,"['machine learning', 'finance', 'cfa', 'trading', 'statistics', 'economics', 'api', 'ui']"
19,WEYBRIDGE,Principal Clinical Development Scientist,"['phd', 'statistics', 'ui']"
20,WEYBRIDGE,NEW! MIDDLEBURY - HOME HEALTH CARE - CAREGIVER - COMPANION -...,[]
21,WEYBRIDGE,ShippingDistribution Associate,"['api', 'ui']"
22,WEYBRIDGE,Global Consumer Experience Lead,"['engineering', 'api', 'ux', 'ui']"
23,WEYBRIDGE,Bridport VT - Community Caregiver / Companion - Vermont -,[]
24,WEYBRIDGE,Substitutes,['ui']
25,WEYBRIDGE,Director- Clinical Systems Business Lead,"['data analytics', 'finance', 'database', 'ui']"
26,WEYBRIDGE,Strategic Relationship Manager,"['network', 'finance', 'database', 'ui']"
27,WEYBRIDGE,newQuality Process & Standards Lead,"['network', 'engineering', 'computer science', 'ui']"
28,FREDDIE MAC,Risk & Controls Professional (Hybrid Work Schedule),"['finance', 'ui']"
29,FREDDIE MAC,"Desktop Support, Professional (Hybrid Work Schedule)","['finance', 'ui']"
30,FREDDIE MAC,Financial Model Development Manager,"['finance', 'api', 'ui']"
31,FREDDIE MAC,Loan Servicing Senior Associate - Hybrid Work Schedule,"['finance', 'ui']"
32,FREDDIE MAC,Junior Privacy Professional (Remote),"['network', 'finance', 'ui']"
33,FREDDIE MAC,Counterparty Credit Risk Management Associate (Hybrid Work S...,"['programming', 'finance', 'trading', 'ui']"
34,FREDDIE MAC,newInformation Security Professional (Remote Work Schedule),"['network', 'engineering', 'finance', 'database', 'ux', 'ui']"
35,FREDDIE MAC,"Fair Lending Policy Risk, Senior (Hybrid Work Schedule)","['finance', 'ui']"
36,FREDDIE MAC,newSenior Housing Production Associate (Hybrid Work Schedule),"['finance', 'api', 'ui']"
37,FREDDIE MAC,"Multifamily Production Associate - Arlington, VA (Hybrid Wor...","['network', 'finance', 'api', 'ui']"
38,FREDDIE MAC,newRed Team Penetration Tester – Junior (Remote Work Schedule),"['python', 'c++', 'python', 'sql', 'network', 'engineering', 'finance', 'ux', 'ui', 'operating systems']"
39,FREDDIE MAC,"Loss Mitigation, Senior (Hybrid Work Schedule)","['finance', 'ui']"
40,FREDDIE MAC,"newProduct Analyst, Professional (Hybrid Work Schedule)","['finance', 'ui']"
41,FREDDIE MAC,"Greenhouse Gas (GHG) Emissions and Environmental, Social and...","['finance', 'api', 'ui']"
42,FREDDIE MAC,"newMF LIHTC Equity Producer (Hybrid Work Schedule McLean, VA/Da...","['finance', 'economics', 'api', 'ui']"
43,BLACKROCK,Technical Associate,"['ui', 'operating systems']"
44,BLACKROCK,newBlackRock Sustainable Investing Climate and Sustainability R...,"['network', 'data analytics', 'finance', 'database', 'ui']"
45,BLACKROCK,Summer Camp Teaching Artist,"['programming', 'ui']"
46,BLACKROCK,Operations Supervisor,['ui']
47,BLACKROCK,Project Manager,"['engineering', 'ui']"
48,BLACKROCK,O&M Technician,"['communications', 'ui']"
49,BLACKROCK,Mechanical Engineering Lead,"['engineering', 'ui']"
50,BLACKROCK,Production Supervisor,['ui']
51,BLACKROCK,newBIM Duct Coordinator,"['masters', 'ui']"
52,BLACKROCK,Landfill QA Technician,['ui']
53,BLACKROCK,Business Development Leader,['ui']
54,BLACKROCK,Engineering Manager,"['programming', 'engineering', 'finance', 'api', 'ui']"
55,BLACKROCK,Baking Operations Specialist,['ui']
56,BLACKROCK,GSP Safety Specialist (Gen),['ui']
57,BLACKROCK,"Associate, Full-Stack Application Engineering","['javascript', 'java', 'network', 'engineering', 'finance', 'portfolio management', 'api', 'ux', 'ui']"
58,ENVERUS,Sales Training Coordinator - 2293,"['trading', 'api', 'ui']"
59,ENVERUS,Customer Success Manager-Oilfield Services - 22190,"['trading', 'ui']"
60,ENVERUS,Product Marketing Manager - 22161,['ui']
61,ENVERUS,Sales Trainer 2298,"['trading', 'api', 'ui']"
62,ENVERUS,"newVice President - Global/GOM, Intelligence 22269D","['python', 'python', 'sql', 'engineering', 'finance', 'cfa', 'trading', 'database', 'economics', 'ui']"
63,ENVERUS,"Manager, Customer Access 22-154","['sql', 'communications', 'finance', 'trading', 'api', 'ui']"
