SKILL_ID,SKILL_NAME
0,C++
1,C#
2,Python
3,SQL
4,Javascript
5,ReactJS
6,Java
7,Market microstructures
8,Quantitative analysis
9,Mathematics
10,programming
11,Options Trading
12,Network
13,Communications
14,Electrical Engineering
15,Engineering
16,Computer Engineering
17,Computer Science
18,Data Analytics
19,Cloud Computing
20,Microsoft Azure
21,Amazon Web Services
22,Machine Learning
23,Artificial Intelligence
24,Finance
25,Bloomberg Terminal
26,Bloomberg Market Concepts
27,CFA
28,CFP
29,Portfolio Management
30,Trading
31,Database
32,Series 7
33,Physics
34,Information Sciences
35,Graduate School
36,PhD
37,Masters
38,Low-Latency
39,FPGA
40,GPU
41,Exchange Architecture
42,Processor Design
43,Statistics
44,Economics
45,API
46,UX
47,UI
48,Operating Systems
49,html
